,linha,paradas
48,557.1,"                        geometry
0    POINT (-47.96572 -15.80723)
1    POINT (-47.96643 -15.80779)
2    POINT (-47.96643 -15.80739)
3    POINT (-47.96547 -15.80754)
4    POINT (-47.96682 -15.80706)
..                           ...
244  POINT (-48.14271 -15.80733)
245  POINT (-48.13989 -15.80657)
246  POINT (-48.13995 -15.80677)
247  POINT (-48.14249 -15.80750)
248  POINT (-48.14117 -15.80691)

[249 rows x 1 columns]"
49,373.2,"                        geometry
0    POINT (-47.96304 -15.86636)
1    POINT (-47.96287 -15.86609)
2    POINT (-47.96680 -15.86686)
3    POINT (-47.96505 -15.86656)
4    POINT (-47.96109 -15.86449)
..                           ...
203  POINT (-47.89801 -15.81589)
204  POINT (-47.89820 -15.81603)
205  POINT (-47.90020 -15.81720)
206  POINT (-47.89972 -15.81719)
207  POINT (-47.90083 -15.81642)

[208 rows x 1 columns]"
50,761.1,"                       geometry
0   POINT (-47.76040 -15.75219)
1   POINT (-47.74439 -15.75897)
2   POINT (-47.75372 -15.75319)
3   POINT (-47.74684 -15.75743)
4   POINT (-47.75137 -15.75455)
..                          ...
95  POINT (-47.77267 -15.75649)
96  POINT (-47.87960 -15.79363)
97  POINT (-47.87574 -15.79396)
98  POINT (-47.87502 -15.79419)
99  POINT (-47.87438 -15.79530)

[100 rows x 1 columns]"
51,194.1,"                        geometry
0    POINT (-47.78887 -15.89755)
1    POINT (-47.79119 -15.89560)
2    POINT (-47.79144 -15.89588)
3    POINT (-47.78726 -15.89715)
4    POINT (-47.78566 -15.89730)
..                           ...
134  POINT (-47.90526 -15.81193)
135  POINT (-47.90854 -15.81387)
136  POINT (-47.91091 -15.81558)
137  POINT (-47.91059 -15.81581)
138  POINT (-47.90791 -15.81387)

[139 rows x 1 columns]"
52,501.2,"                        geometry
0    POINT (-47.88979 -15.74707)
1    POINT (-47.82298 -15.67538)
2    POINT (-47.82367 -15.70158)
3    POINT (-47.81398 -15.70818)
4    POINT (-47.82348 -15.70174)
..                           ...
122  POINT (-47.89554 -15.72391)
123  POINT (-47.89611 -15.72536)
124  POINT (-47.89579 -15.72520)
125  POINT (-47.89838 -15.71831)
126  POINT (-47.89801 -15.71827)

[127 rows x 1 columns]"
53,136.6,"                       geometry
0   POINT (-47.89601 -15.74749)
1   POINT (-47.87732 -15.71046)
2   POINT (-47.87902 -15.70963)
3   POINT (-47.87623 -15.71107)
4   POINT (-47.87466 -15.71506)
..                          ...
94  POINT (-47.88881 -15.72266)
95  POINT (-47.88421 -15.72049)
96  POINT (-47.89265 -15.72342)
97  POINT (-47.88321 -15.72205)
98  POINT (-47.89345 -15.72321)

[99 rows x 1 columns]"
54,0.871,"                        geometry
0    POINT (-48.04624 -15.92573)
1    POINT (-48.04654 -15.92620)
2    POINT (-48.04656 -15.92603)
3    POINT (-48.04622 -15.92574)
4    POINT (-48.05528 -15.89884)
..                           ...
230  POINT (-47.91911 -15.80191)
231  POINT (-47.91606 -15.80011)
232  POINT (-47.92143 -15.80326)
233  POINT (-47.92345 -15.80438)
234  POINT (-47.91679 -15.80016)

[235 rows x 1 columns]"
55,600.2,"                        geometry
0    POINT (-47.66822 -15.62072)
1    POINT (-47.66299 -15.62363)
2    POINT (-47.66308 -15.62365)
3    POINT (-47.66244 -15.62091)
4    POINT (-47.66847 -15.62052)
..                           ...
214  POINT (-47.89554 -15.72391)
215  POINT (-47.89611 -15.72536)
216  POINT (-47.89579 -15.72520)
217  POINT (-47.89838 -15.71831)
218  POINT (-47.89801 -15.71827)

[219 rows x 1 columns]"
56,519.1,"                        geometry
0    POINT (-47.89601 -15.74749)
1    POINT (-47.82156 -15.63859)
2    POINT (-47.82128 -15.63800)
3    POINT (-47.84088 -15.62687)
4    POINT (-47.85413 -15.61916)
..                           ...
142  POINT (-47.89554 -15.72391)
143  POINT (-47.89611 -15.72536)
144  POINT (-47.89579 -15.72520)
145  POINT (-47.89838 -15.71831)
146  POINT (-47.89801 -15.71827)

[147 rows x 1 columns]"
57,501.3,"                        geometry
0    POINT (-47.88979 -15.74707)
1    POINT (-47.82261 -15.63894)
2    POINT (-47.82270 -15.63879)
3    POINT (-47.82156 -15.63859)
4    POINT (-47.82128 -15.63800)
..                           ...
139  POINT (-47.89537 -15.70986)
140  POINT (-47.89811 -15.71241)
141  POINT (-47.89611 -15.72536)
142  POINT (-47.89838 -15.71831)
143  POINT (-47.89801 -15.71827)

[144 rows x 1 columns]"
58,322.1,"                        geometry
0    POINT (-47.95257 -15.83196)
1    POINT (-47.95257 -15.83196)
2    POINT (-47.95257 -15.83196)
3    POINT (-47.95252 -15.83162)
4    POINT (-47.95252 -15.83162)
..                           ...
211  POINT (-47.89801 -15.81589)
212  POINT (-47.89820 -15.81603)
213  POINT (-47.90020 -15.81720)
214  POINT (-47.89972 -15.81719)
215  POINT (-47.90083 -15.81642)

[216 rows x 1 columns]"
